name,Num_EV,Demand,RES,SolarCapacity,BuyPowerEnergy,TripEnergy,ContractPower,Cost,EnergyCost,ContractCost
B11001661,5,1374598.0,249155.12891699997,179.48718,1143023.7425889624,6031.587301587301,364.41026,2893.6774,1819.1874,736.40025
B11001662,5,472274.0,92543.33379604999,66.666667,386194.8462666055,6031.587301587301,126.33333,1001.3889,608.26121,255.2944
B11001663,5,698720.0,113575.90934329998,81.818182,592117.0899610717,6031.587301587301,172.0,1450.0417,937.7368,347.5776
B11001664,5,393920.0,107205.42837290003,77.142857,293740.70160590246,6365.079365079365,132.0,882.97517,459.801,266.7456
B11001665,5,907297.0,156448.5,113.0,759339.8345513517,6365.079365079365,171.0,1770.3914,1204.7596,345.5568
B11001666,5,410639.0,86531.25,62.5,332655.74706763966,6365.079365079365,125.375,905.86037,522.06507,253.3578
B11001667,5,1144417.0,246552.014511,177.61194,906761.4028233875,6116.190476190477,219.22388,2218.8012,1441.0323,443.00762
B11001668,5,954041.0,206608.37306149997,148.83721,756012.0329614958,6116.190476190477,160.0,1806.8474,1199.8333,323.328
B11001669,5,1048382.0,213561.53312249997,153.84615,842915.2055336658,6116.190476190477,198.30769,2032.1955,1338.8784,400.74019
B11001670,5,909661.0,199546.56249999997,143.75,718212.32853717,6116.190476190477,148.125,1713.3411,1139.3538,299.331
B11001672,5,1386347.0,302493.33642,217.77778,1095708.5799404173,6365.079365079365,315.82222,2787.2187,1742.9496,638.21355
B11001673,5,873149.0,210998.8,152.0,670041.7130839779,6116.190476190477,156.48,1667.7956,1062.2808,316.21478
B11001674,5,751206.0,180128.98148499997,129.7619,578108.432818,6116.190476190477,125.70238,1419.0343,915.18759,254.01937
B11001675,5,629139.0,143021.510945,103.0303,493234.366288278,6116.190476190477,117.93939,1220.0998,779.38908,238.33193
B11001676,5,756775.0,168428.86203949997,121.33333,595505.9920138218,6116.190476190477,126.78667,1434.1008,943.02368,256.2105
B11001677,5,757039.0,170979.44884949998,123.17073,593705.2677437939,6116.190476190477,120.76829,1422.3191,940.14252,244.04857
B11001678,5,698393.0,181721.45328349998,130.90909,525054.4637463827,6116.190476190477,156.69091,1398.8059,830.30124,316.64099
B11001679,5,796474.0,0.0,0.0,802837.3289990043,6304.920634920635,140.0,1576.8639,1274.4519,282.912
B11001680,5,959344.0,218593.729569,157.47126,748767.0545266002,6116.190476190477,171.42529,1833.6691,1188.2414,346.41622
B11001681,5,962271.0,204569.47222299996,147.36842,765879.6456981921,6116.190476190477,168.0,1836.1949,1215.6215,339.4944
