計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他,,,
2013/04/24,07,41,,,14,10,,,,,
2013/04/24,08,75,,,23,31,,,,,
2013/04/24,09,75,,,26,40,,,,,
2013/04/24,10,82,,,26,44,,,,,
2013/04/24,11,88,,,27,49,,,,,
2013/04/24,12,92,,,30,51,,,,,
2013/04/24,13,86,,,33,49,,,,,
2013/04/24,14,90,,,31,46,,,,,
2013/04/24,15,85,,,31,49,,,,,
2013/04/24,16,85,,,26,46,,,,,
2013/04/24,17,80,,,33,43,,,,,
2013/04/24,18,40,,,26,28,,,,,
2013/04/24,19,29,,,16,9,,,,,
2013/04/24,20,31,,,18,8,,,,,
2013/04/24,21,28,,,18,8,,,,,
2013/04/24,22,23,,,13,8,,,,,
2013/04/24,23,27,,,13,8,,,,,
2013/04/24,24,29,,,16,8,,,,,
2013/04/25,01,30,,,17,8,,,,,
2013/04/25,02,26,,,16,7,,,,,
2013/04/25,03,28,,,14,7,,,,,
2013/04/25,04,26,,,15,7,,,,,
2013/04/25,05,26,,,14,7,,,,,
2013/04/25,06,33,,,15,7,,,,,
2013/04/25,07,45,,,20,11,,,,,
2013/04/25,08,74,,,27,28,,,,,
2013/04/25,09,73,,,30,35,,,,,
2013/04/25,10,72,,,25,39,,,,,
2013/04/25,11,70,,,23,39,,,,,
2013/04/25,12,71,,,24,37,,,,,
2013/04/25,13,75,,,24,40,,,,,
2013/04/25,14,83,,,29,41,,,,,
2013/04/25,15,84,,,35,41,,,,,
2013/04/25,16,78,,,30,40,,,,,
2013/04/25,17,79,,,29,40,,,,,
2013/04/25,18,55,,,26,37,,,,,
2013/04/25,19,33,,,19,14,,,,,
2013/04/25,20,31,,,18,9,,,,,
2013/04/25,21,27,,,16,9,,,,,
2013/04/25,22,26,,,12,9,,,,,
2013/04/25,23,27,,,16,8,,,,,
2013/04/25,24,30,,,17,8,,,,,
2013/04/26,01,28,,,17,8,,,,,
2013/04/26,02,27,,,15,8,,,,,
2013/04/26,03,27,,,14,7,,,,,
2013/04/26,04,27,,,13,7,,,,,
2013/04/26,05,28,,,15,8,,,,,
2013/04/26,06,31,,,17,8,,,,,
2013/04/26,07,43,,,18,12,,,,,
2013/04/26,08,70,,,25,25,,,,,
2013/04/26,09,79,,,32,34,,,,,
2013/04/26,10,78,,,32,40,,,,,
2013/04/26,11,73,,,24,41,,,,,
2013/04/26,12,70,,,23,39,,,,,
2013/04/26,13,75,,,25,40,,,,,
2013/04/26,14,78,,,24,42,,,,,
2013/04/26,15,89,,,27,45,,,,,
2013/04/26,16,84,,,35,46,,,,,
2013/04/26,17,76,,,27,43,,,,,
2013/04/26,18,51,,,24,38,,,,,
2013/04/26,19,30,,,16,12,,,,,
2013/04/26,20,30,,,17,9,,,,,
2013/04/26,21,28,,,17,9,,,,,
2013/04/26,22,27,,,14,8,,,,,
2013/04/26,23,27,,,15,8,,,,,
2013/04/26,24,30,,,16,8,,,,,
2013/04/27,01,28,,,17,8,,,,,
